Humidity3pm,Rainfall,RainToday,TempRange,WindGustSpeed,Pressure9am,AvgPressure,HumidityChange,AvgHumidity
7.0,8.8812639067,true,33.3,6.7,1016.1,1061.69,5.6,86.0
75.3,5.4943572301,false,21.4,77.2,908.7,964.98,-76.2,56.1
34.6,5.2681112976,false,7.0,65.3,1083.9,955.31,-9.9,80.3
41.5,1.7896336455,true,3.1,104.8,1006.2,992.38,77.7,53.0
56.3,6.4108193439,true,11.3,188.9,983.9,946.4,-21.5,47.7
56.1,1.7319590774,true,36.9,124.5,985.4,1023.9,35.8,6.4
58.1,7.4809189234,true,12.6,116.9,1014.9,984.79,-44.2,86.0
82.2,7.8967804349,false,22.2,151.8,1014.4,929.02,-53.6,11.8
22.0,3.9760684001,false,28.6,172.2,960.4,918.53,-37.6,8.7
70.3,1.0539512655,true,20.2,86.5,947.8,962.5,-60.4,30.8
25.7,9.2633360316,false,16.6,57.9,991.3,1007.6,-7.3,8.4
68.1,3.8274953061,true,37.0,0.8,1015.8,951.33,17.9,85.4
5.7,8.4203219584,true,22.2,10.5,1044.5,1062.06,-45.3,80.0
39.7,2.2786495647,true,22.0,57.2,1034.3,936.38,65.0,78.6
42.9,7.3557409173,false,26.9,4.7,1079.9,939.86,60.7,49.7
33.9,0.6870676099,true,41.4,45.8,943.9,1100.0,27.5,25.1
65.3,8.7243491342,false,14.1,97.8,933.2,932.01,-28.4,58.8
83.4,8.6388641975,false,19.2,112.5,926.8,1077.92,-99.7,93.2
87.2,6.5020003501,false,41.0,150.9,1048.6,1092.36,67.5,32.1
34.4,3.0311333752,true,48.7,82.9,947.1,925.32,29.7,86.4
79.9,8.877827438,true,38.8,178.5,1005.8,1066.34,6.1,46.1
99.3,3.5745425424,false,33.2,9.5,1070.3,933.4,75.7,61.4
84.8,0.330552582,false,15.4,44.2,1059.8,957.01,-59.3,79.3
34.3,1.9379943917,true,14.1,75.4,1042.3,995.62,30.6,63.4
32.5,1.4667879184,true,34.8,100.7,1061.7,1083.75,-83.1,37.7
84.3,0.6461956988,false,46.8,56.2,911.4,1017.36,-0.8,98.1
33.0,9.7032970319,false,18.4,59.1,939.3,1065.19,-1.2,38.4
12.0,0.3559671264,false,7.3,93.5,1066.7,1042.03,-87.4,59.7
13.9,9.0722799817,false,36.3,79.0,1094.7,957.72,-74.3,80.0
49.6,6.3053336574,false,45.6,117.3,947.6,1073.64,4.5,91.4
26.5,1.7240851927,false,17.9,164.6,924.6,1066.65,31.7,51.5
24.6,8.7590373861,true,1.3,156.3,1036.3,1080.63,-67.8,51.0
79.7,2.2040621201,false,14.4,120.2,1000.9,1035.69,-31.7,69.4
55.1,4.3644905988,false,49.4,49.6,1028.2,1043.93,49.5,46.4
60.5,6.1311627239,false,29.7,68.7,1001.4,1002.73,-73.5,31.0
46.1,7.7079427144,false,40.2,128.5,992.0,1055.05,74.9,33.4
96.0,8.154811267,false,12.9,96.0,931.6,1041.19,-92.1,9.2
42.2,7.5989139445,false,25.3,200.0,911.8,979.79,-1.8,84.4
14.6,2.4402086381,true,21.7,118.6,913.2,1065.15,-33.2,36.4
1.6,1.970285036,true,41.8,180.7,1018.1,942.72,-98.9,23.1
87.8,7.6185165096,true,36.1,122.7,965.5,1019.59,-84.7,59.9
49.8,4.2151733134,true,27.2,184.1,1006.1,942.41,26.5,70.4
47.2,2.6312016666,true,47.1,75.5,968.2,1095.86,9.7,95.8
84.2,2.7588451854,false,8.1,147.9,1068.5,967.9,71.5,61.0
36.7,5.0462483819,false,36.5,61.4,912.8,955.03,94.4,70.3
35.4,0.4675478891,true,8.8,197.3,1062.1,962.29,-54.8,33.3
5.3,7.3564424873,true,47.4,158.9,962.8,940.49,5.4,11.8
25.2,2.7795543965,true,45.2,187.5,908.1,1034.03,-79.9,27.6
53.2,1.2362359534,true,20.2,65.6,942.3,944.2,-74.1,0.3
97.1,7.7813875499,true,2.2,127.7,1014.3,933.13,98.6,73.3
46.2,0.5253477492,true,10.3,136.7,1055.7,930.18,-59.0,40.1
79.0,8.239811796,true,29.9,14.7,1085.6,992.37,56.2,37.6
27.1,6.1810405096,true,35.0,144.3,1042.2,1066.42,-85.3,5.1
73.9,0.0496665742,true,1.1,137.0,1098.5,1063.21,45.4,51.7
40.7,5.2652423729,true,14.9,33.6,1019.3,1007.34,-68.8,2.3
69.8,6.1861227173,true,2.3,150.2,1020.6,1070.29,54.1,14.2
